"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NODA","ODAFLOWS","MLN_USD","A","1960",609.233875,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1961",726.343919,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1962",750.205315,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1963",946.194954,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1964",959.286628,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1965",1108.249297,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1966",1194.834343,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1967",1406.344781,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1968",1350.893282,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1969",1502.558666,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1970",1627.248121,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1971",1528.308804,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1972",1759.114759,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1973",1404.210452,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1974",1692.477728,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1975",2076.21166,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1976",1348.404617,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1977",1437.224732,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1978",1892.623266,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1979",1892.040132,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1980",1792.9012,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1981",1574.517794,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1982",2164.318056,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1983",1915.186021,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1984",1918.073584,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1985",2195.739154,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1986",2158.209206,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1987",1608.632417,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1988",2335.665548,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1989",1980.842806,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1990",1793.135287,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1991",1933.641363,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1992",1968.405896,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1993",1976.56838,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1994",2077.49172,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1995",2178.69208,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1996",1818.87556,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1997",1868.498049,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1998",1989.067409,
"AUS","NODA","ODAFLOWS","MLN_USD","A","1999",1956.047207,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2000",2101.784102,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2001",2013.858144,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2002",2105.333851,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2003",2108.413421,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2004",2148.956651,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2005",2283.848264,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2006",2780.181796,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2007",3012.141792,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2008",3178.516834,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2009",3127.964843,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2010",3499.717373,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2011",3866.498799,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2012",4205.112346,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2013",3995.731905,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2014",3854.693699,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2015",3715.438629,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2016",3484.409978,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2017",3024.884175,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2018",3149,
"AUS","NODA","ODAFLOWS","MLN_USD","A","2019",3070.132859,
"AUS","NODA","ODAGRANT","MLN_USD","A","2015",3427.06118,
"AUS","NODA","ODAGRANT","MLN_USD","A","2016",3484.409978,
"AUS","NODA","ODAGRANT","MLN_USD","A","2017",3024.884175,
"AUS","NODA","ODAGRANT","MLN_USD","A","2018",3149,
"AUS","NODA","ODAGRANT","MLN_USD","A","2019",3070.132859,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1960",0.370207,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1961",0.438586,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1962",0.426097,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1963",0.507676,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1964",0.481696,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1965",0.528578,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1966",0.556168,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1967",0.615102,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1968",0.565133,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1969",0.598692,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1970",0.615465,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1971",0.561453,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1972",0.615291,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1973",0.466332,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1974",0.551338,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1975",0.654945,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1976",0.407832,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1977",0.41945,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1978",0.546109,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1979",0.527912,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1980",0.483521,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1981",0.410934,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1982",0.561017,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1983",0.489838,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1984",0.450168,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1985",0.482921,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1986",0.465792,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1987",0.33528,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1988",0.460885,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1989",0.376072,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1990",0.340148,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1991",0.375278,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1992",0.366095,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1993",0.347079,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1994",0.341548,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1995",0.342533,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1996",0.273747,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1997",0.270405,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1998",0.271299,
"AUS","NODA","ODAFLOWS","PC_GNI","A","1999",0.25704,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2000",0.266644,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2001",0.251897,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2002",0.255604,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2003",0.2472,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2004",0.245141,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2005",0.247574,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2006",0.295075,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2007",0.322592,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2008",0.316008,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2009",0.293623,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2010",0.322727,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2011",0.343566,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2012",0.36093,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2013",0.330898,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2014",0.314311,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2015",0.291112,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2016",0.265827,
"AUS","NODA","ODAFLOWS","PC_GNI","A","2017",0.231997,
"AUS","NODA","ODAGRANT","PC_GNI","A","2018",0.229569,
"AUS","NODA","ODAGRANT","PC_GNI","A","2019",0.219303,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1960",1.446364,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1961",39.962826,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1962",30.405319,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1963",53.646177,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1964",81.686353,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1965",127.574038,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1966",142.421888,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1967",165.401073,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1968",174.765385,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1969",147.579996,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1970",103.201001,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1971",108.318919,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1972",135.23319,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1973",239.992673,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1974",310.313131,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1975",360.405938,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1976",221.000201,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1977",420.812635,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1978",496.794685,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1979",374.197198,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1980",464.42308,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1981",661.860276,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1982",721.114015,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1983",491.231034,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1984",598.775329,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1985",824.986708,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1986",470.531428,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1987",386.915729,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1988",557.769765,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1989",544.133866,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1990",270.094372,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1991",468.241636,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1992",295.669098,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1993",307.48285,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1994",462.078325,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1995",768.228049,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1996",678.194016,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1997",725.538811,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1998",679.91154,
"AUT","NODA","ODAFLOWS","MLN_USD","A","1999",758.895463,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2000",773.168299,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2001",1123.73595,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2002",867.23036,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2003",692.989676,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2004",831.658543,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2005",1882.913292,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2006",1742.458732,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2007",1886.276921,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2008",1663.61798,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2009",1126.948646,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2010",1242.896635,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2011",1069.393153,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2012",1127.791041,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2013",1137.905139,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2014",1174.585137,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2015",1472.433401,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2016",1795.12026,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2017",1332.300177,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2018",1167.22,
"AUT","NODA","ODAFLOWS","MLN_USD","A","2019",1253.557126,
"AUT","NODA","ODAGRANT","MLN_USD","A","2015",1343.3364,
"AUT","NODA","ODAGRANT","MLN_USD","A","2016",1797.710621,
"AUT","NODA","ODAGRANT","MLN_USD","A","2017",1334.866245,
"AUT","NODA","ODAGRANT","MLN_USD","A","2018",1170.18,
"AUT","NODA","ODAGRANT","MLN_USD","A","2019",1256.472399,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1960",0.001592,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1961",0.041727,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1962",0.031081,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1963",0.052698,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1964",0.075515,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1965",0.114286,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1966",0.122255,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1967",0.138751,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1968",0.141495,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1969",0.112686,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1970",0.073349,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1971",0.073436,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1972",0.086206,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1973",0.145888,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1974",0.181225,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1975",0.211416,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1976",0.124162,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1977",0.226843,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1978",0.268373,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1979",0.192874,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1980",0.233336,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1981",0.334088,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1982",0.355689,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1983",0.236493,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1984",0.281993,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1985",0.376892,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1986",0.211108,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1987",0.172337,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1988",0.239605,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1989",0.225102,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1990",0.106425,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1991",0.181118,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1992",0.111489,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1993",0.113609,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1994",0.165075,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1995",0.267603,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1996",0.229035,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1997",0.242969,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1998",0.218973,
"AUT","NODA","ODAFLOWS","PC_GNI","A","1999",0.238134,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2000",0.234436,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2001",0.341561,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2002",0.255124,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2003",0.201613,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2004",0.232908,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2005",0.521781,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2006",0.468866,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2007",0.498059,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2008",0.428275,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2009",0.302039,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2010",0.322422,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2011",0.267127,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2012",0.280216,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2013",0.273521,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2014",0.284369,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2015",0.353749,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2016",0.423711,
"AUT","NODA","ODAFLOWS","PC_GNI","A","2017",0.300043,
"AUT","NODA","ODAGRANT","PC_GNI","A","2018",0.258183,
"AUT","NODA","ODAGRANT","PC_GNI","A","2019",0.268413,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1960",1019.114199,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1961",919.595043,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1962",684.321307,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1963",759.924137,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1964",648.065461,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1965",875.594849,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1966",632.433072,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1967",712.80593,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1968",692.012363,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1969",880.89925,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1970",858.600966,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1971",971.826606,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1972",1094.018469,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1973",1099.34012,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1974",1129.183548,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1975",1322.664368,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1976",1162.093686,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1977",1094.846424,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1978",1331.577073,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1979",1421.610946,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1980",1261.351742,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1981",1471.196036,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1982",1462.129267,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1983",1487.08957,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1984",1483.618805,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1985",1439.44532,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1986",1306.971703,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1987",1350.562279,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1988",1137.873939,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1989",1362.048657,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1990",1421.007996,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1991",1319.252962,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1992",1256.618552,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1993",1209.473101,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1994",1030.128227,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1995",1275.12995,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1996",1177.157696,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1997",1127.897618,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1998",1299.625766,
"BEL","NODA","ODAFLOWS","MLN_USD","A","1999",1159.993622,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2000",1418.230833,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2001",1514.263085,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2002",1749.179004,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2003",2477.712618,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2004",1745.536554,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2005",2293.397543,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2006",2235.930818,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2007",1984.598551,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2008",2260.359035,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2009",2547.416842,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2010",3025.783235,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2011",2645.918507,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2012",2314.685357,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2013",2197.72144,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2014",2317.087317,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2015",2128.890472,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2016",2535.374809,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2017",2334.59314,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2018",2347.97,
"BEL","NODA","ODAFLOWS","MLN_USD","A","2019",2293.657154,
"BEL","NODA","ODAGRANT","MLN_USD","A","2015",2113.014827,
"BEL","NODA","ODAGRANT","MLN_USD","A","2016",2560.484296,
"BEL","NODA","ODAGRANT","MLN_USD","A","2017",2357.809701,
"BEL","NODA","ODAGRANT","MLN_USD","A","2018",2311.59,
"BEL","NODA","ODAGRANT","MLN_USD","A","2019",2258.899271,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1960",0.882765,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1961",0.759275,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1962",0.53858,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1963",0.572557,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1964",0.457932,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1965",0.598233,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1966",0.417041,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1967",0.453885,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1968",0.421196,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1969",0.500474,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1970",0.463075,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1971",0.502459,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1972",0.547617,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1973",0.511661,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1974",0.502825,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1975",0.597233,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1976",0.496808,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1977",0.466887,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1978",0.550389,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1979",0.579367,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1980",0.496851,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1981",0.588955,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1982",0.579782,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1983",0.587264,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1984",0.575151,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1985",0.547329,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1986",0.475638,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1987",0.479192,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1988",0.394148,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1989",0.45816,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1990",0.455844,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1991",0.414116,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1992",0.39082,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1993",0.390552,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1994",0.317771,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1995",0.382952,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1996",0.342486,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1997",0.310453,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1998",0.352167,
"BEL","NODA","ODAFLOWS","PC_GNI","A","1999",0.303446,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2000",0.35774,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2001",0.368331,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2002",0.432461,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2003",0.601762,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2004",0.409653,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2005",0.525709,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2006",0.499264,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2007",0.426107,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2008",0.478601,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2009",0.54998,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2010",0.639711,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2011",0.536292,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2012",0.474599,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2013",0.45299,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2014",0.463023,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2015",0.416077,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2016",0.498588,
"BEL","NODA","ODAFLOWS","PC_GNI","A","2017",0.445322,
"BEL","NODA","ODAGRANT","PC_GNI","A","2018",0.430242,
"BEL","NODA","ODAGRANT","PC_GNI","A","2019",0.415698,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1960",446.103086,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1961",432.18115,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1962",309.501633,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1963",474.046365,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1964",555.942836,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1965",663.26715,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1966",1260.773029,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1967",1220.964056,
"CAN","NODA","ODAFLOWS","MLN_USD","A","1968",1169.094721,
